,Rank,Artist,Lyrics,Title,album_name,release_date,total_tracks,duration,track_number,album_single,chart
10,11,Ray Price,"I wonder what the power is that you hold over me
I never get to love you long just your memory
And I make a vow each time you leave that this will draw the line
Then you come back and just like now I'm falling one more time
One more time my lips may kiss you one more time my arms will hold you
But it won't belong until you're gone with a mem'ry left behind
And I just know that when you go I'll be lonely one more time
Your nearness makes me weaken and I give into you
And I'm doing all the things I said that I wouldn't do
And I make a vow each time you leave that this will draw the line
Then you come back and just like now I'm falling one more time
One more time my lips may kiss you...",I'm So Ashamed,Run That By Me One More Time,2011,11,3:05,Track 'A3',LP,True
11,12,Skeeter Davis,"One hour and I'll be meeting you
I know you're gonna make me blue
My heart is trembling through and through
'Cause I know very well, I can tell, I can tell
This will be my last date with you

Just can't believe that this could end
I know, I'll never love again
You'll ask me to be just a friend
It's as plain as can be, I can see, I can see
This will be my last date with you

I know we had a quarrel
But all sweethearts do
I gave my heart to prove to you
That I would always love you and be true

I know you've met somebody new
You'll tell me, you and I are through
My plans and dreams cannot come true
And when you say goodby, I know I will cry
'Cause I know it's my last date with you",My Last Date (With You),My Last Date (With You) / Someone I'd Like To Forget,1960,2,2:30,Track 'A',Single,True
12,13,Jim Reeves,,I'm Gettin' Better,I Know One / I'm Gettin' Better,1960,2,2:14,Track 'B',Single,True
13,14,Roy Drusky,"You didn't love me long until the thrill was gone
Then another made me your old used to be
How long can his love last when the new wears oh so fast
There'll always be another and another and another just like me
Just like me he'll understand the sorrow of loving you today and losing you tomorrow
I'd warn him but he called it jealousy
So let him be another and another and another just like me

Just like me he'll understand...",Just Like I Knew,The Country's Favorite,1966,10,1:51,Track 'A2',Album,True
14,15,Buck Owens,"They just don't know how lost I feel without you
My teardrops never see the light of day
I laugh and joke each time they talk about you
But if they heard my heart they'd hear it say

Excuse me, I think I've got a heartache
There's an aching deep inside
And it just won't be denied
Excuse me, I think I've got a heartache
And I better say goodbye before I cry
I guess it's pride that makes me hide my sorrow
I live a lie in all I do and say
My lips may lie and paint a bright tomorrow
But if I told the truth I'd have to say

Excuse me, I think I've got a heartache
There's an aching deep inside
And it just won't be denied
Excuse me, I think I've got a heartache
And I better say goodbye before I cry",,,,,,,,
15,16,Webb Pierce,"Honey bee loves the honey chickadee loves the sky
Everybody loves somebody but no love have I no love have I
Standing on the corner lovers pass me by
How my heart is crying cause no love have I no love have I
(Every night in my prayers I pray for some lost love to come my way)
Then we'll spend our lonely hours making love in an ivory tower
Lonely is the city when the moon lights up the sky
But what good is that moonlight if no love have I no love have I
(Every night in my prayers I pray...",No Love Have I,No Love Have I,1959,2,2:27,Track 'A',Single,True
16,17,Faron Young,"Well, I spent the better part of my life
On a Mississippi riverboat
I used to be known from coast to coast
As the slickest gambler afloat.

I've dealt the cards from Minnesota
To the harbor in New Orleans
I made a lotta big money on the riverboat
I loved a lotta pretty riverboat queens.

Riverboat, riverboat
I love your whistle's wail
I wish I was back on the riverboart
'Stead of in the Memphis jail.

Oh, a big man got on the riverboat
Our last time in St. Paul
He had a lotta money but his luck went bad
And the riverboat won it all.

He said I dealt from the bottom of the deck
And he pulled a shiny knife
But before that gambler lunged at me
My .44 took his life.

Riverboat, riverboat
I love your whistle's wail
I wish I was back on the riverboart
'Stead of in the Memphis jail.

Well, they came on the boat and they took me to jail
When we got to Tennessee
A gamblin' man has very few friends
Guess nobody cared for me.

So I might be here for a many long years
But if I ever get out 
I'm gonna head straight for that levee
And get me a riverboat headin' south.

Riverboat, riverboat
I love your whistle's wail
I wish I was back on the riverboart
'Stead of in the Memphis jail.

'Stead of in the Memphis jail...",Riverboat,Faron Young Sings The Best Of Faron Young,1960,12,,Track 'A1',Single,True
17,18,Marty Robbins,"To the town of Agua Fria rode a stranger one fine day
Hardly spoke to folks around him didn't have too much to say
No one dared to ask his business no one dared to make a slip
For the stranger there among them had a big iron on his hip
Big iron on his hip

It was early in the morning when he rode into the town
He came riding from the south side slowly lookin' all around
He's an outlaw loose and running came the whisper from each lip
And he's here to do some business with the big iron on his hip
Big iron on his hip

In this town there lived an outlaw by the name of Texas Red
Many men had tried to take him and that many men were dead
He was vicious and a killer though a youth of twenty four
And the notches on his pistol numbered one and nineteen more
One and nineteen more

Now the stranger started talking made it plain to folks around
Was an Arizona ranger wouldn't be too long in town
He came here to take an outlaw back alive or maybe dead
And he said it didn't matter he was after Texas Red
After Texas Red

Wasn't long before the story was relayed to Texas Red
But the outlaw didn't worry men that tried before were dead
Twenty men had tried to take him twenty men had made a slip
Twenty one would be the ranger with the big iron on his hip
Big iron on his hip

The morning passed so quickly it was time for them to meet
It was twenty past eleven when they walked out in the street
Folks were watching from the windows every-body held their breath
They knew this handsome ranger was about to meet his death
About to meet his death

There was forty feet between them when they stopped to make their play
And the swiftness of the ranger is still talked about today
Texas Red had not cleared leather 'fore a bullet fairly ripped
And the ranger's aim was deadly with the big iron on his hip
Big iron on his hip

It was over in a moment and the folks had gathered round
There before them lay the body of the outlaw on the ground
Oh he might have went on living but he made one fatal slip
When he tried to match the ranger with the big iron on his hip
Big iron on his hip

Big iron Big iron

When he tried to match the ranger with the big iron on his hip",Big Iron,Big Iron,1960,2,,Track 'A',Single,True
18,19,Buck Owens,"A well I'll give you love
That's above and beyond the call of love
And I'll never ever make you cry
A yes I'll give you love
That's above and beyond the call of love
And love's something that money can't buy

Well a poor boy's chances for a pretty girl's glances
Are sometimes very few
Though I've got no money, if you'll be my honey
Here's what I'll offer you

A well I'll give you love
That's above and beyond the call of love
And I'll never ever make you cry
A yes I'll give you love
That's above and beyond the call of love
And love's something that money can't buy

We met by chance and I knew at a glance
That I'd found my destiny
Now I want to carry you off and marry you
If you will agree

And I'll give you love
That's above and beyond the call of love
And I'll never ever make you cry
Yes I'll give you love
That's above and beyond the call of love
And love's something that money can't buy",Above And Beyond,The Best Of Buck Owens,1964,12,2:22,Track 'B3',Single,True
19,20,Roy Drusky,"I don't believe you love me anymore
Lately you've been acting strange to me somehow it's not the way it used to be
You're doing things you never dared to do before
And I don't believe you love me anymore
I felt your love grow colder day by day
When I tried to hold you close you turned away
There must be someone else you're longing for
And I don't believe you love me anymore

Greener pastures now you think you've found
But what will happen when the grass turns brown
I'm hearing things on you I've never heard before
And I don't believe you love me anymore
I felt your love grow colder...
No I don't believe you love me anymore",Anymore,Anymore,1961,12,,Track 'A1',Album,True
20,21,Johnny Horton,"In May of 1941 the war had just begun
The Germans had the biggest ships that had the biggest guns
The Bismark was the fastest ship that ever sailed the seas
On her deck were guns as big as steers and shells as big as trees

Out of the cold and foggy night came the British ship the Hood
And ev'ry British seaman he knew and understood
They had to sink the Bismark, the terror of the sea
Stop those guns as big as steers and those shells as big as trees

We'll find that German battleship that's makin' such a fuss
We gotta sink the Bismark 'cause the world depends on us
Hit the decks a-runnin' boys and spin those guns around
When we find the Bismark we gotta cut her down

The Hood found the Bismark and on that fatal day
The Bismark started firin' fifteen miles away
We gotta sink the Bismark was the battle sound
But when the smoke had cleared away the mighty Hood went down

For six long days and weary nights they tried to find her trail
Churchill told the people put ev'ry ship a-sail
'Cause somewhere on that ocean I know she's gotta be
We gotta sink the Bismark to the bottom of the sea

We'll find that German battleship that's makin' such a fuss
We gotta sink the Bismark 'cause the world depends on us
Hit the decks a-runnin' boys and spin those guns around
When we find the Bismark we gotta cut her down

The fog was gone the seventh day and they saw the mornin' sun
Ten hours away from homeland the Bismark made its run
The Admiral of the British fleet said turn those bows around
We found that German battleship and we're gonna cut her down

The British guns were aimed and the shells were comin' fast
The first shell hit the Bismark, they knew she couldn't last
That mighty German battleship is just a memory
Sink the Bismark was the battle cry that shook the seven seas

We found that German battleship was makin' such a fuss
We had to sink the Bismark 'cause the world depends on us
We hit the deck a-runnin' and we spun those guns around
We found the mighty Bismark and then we cut her down

We found that German battleship was makin' such a fuss
We had to sink the Bismark 'cause the world depends on us
We hit the deck a-runnin' and we spun those guns around
We found the mighty Bismark and then we cut her down",Sink The Bismarck,Sink The Bismarck,1960,2,3:14,Track 'A',Single,True
21,22,Jeanne Black,"I am glad you've finally called me on the phone
I've been waiting here tonight but not alone
You broke the date that we had made just yesterday
Now there's someone else who's here, he'll have to stay

I have found another love I know is true
And he holds me much more tenderly than you
Loving you's not worth the price I have to pay
Someone else is in your place, he'll have to stay

Once I loved you with all my heart
But now I must say no
You broke my heart too many times
So now you'll have to go

I can hear the jukebox playing soft and low
And you're out again with someone else, I know
My love was blind, I'm not your kind that's all I'll say
So you can hang up, I'm in his arms, he'll have to stay

TAG: Now someone else is in your place, he'll have to stay",He'll Have To Stay,He'll Have To Stay,1960,2,2:41,Track 'A',Single,True
22,23,Bob Wills with Tommy Duncan and The Texas Playboys,,Heart To Heart Talk,Country & Western Classics : Bob Wills,1982,40,,Track 'F5',Single,True
23,24,Webb Pierce,"She's just a fallen angel and I'm the fool who made her fall
Last night I saw an angel the one I once called mine
The hand that wore my wedding band held a glass of wine
I took her love for granted I wronged her night and day
I drove my angel from me and now she's gone astray
She's just a fallen angel but I don't blame her for it all
She's just a fallen angel and I'm the fool who made her fall
(Steel)
So many times she told me she couldn't take me much more
So many times I laughed at her and walked right out the door
I wasn't worthy of her and now my angel's gone
The devil took her from me and claimed her for his own
She's just a fallen angel...",Fallen Angel,Fallen Angel...,1960,12,,Track 'A1',Album,True
24,25,Ernest Ashworth,,Each Moment (Spent With You),"Introducing: Bill Anderson, Ernest Ashworth, Roy Drusky, Connie Hall, Lewis Pruitt, Elmer Snodgrass",1961,12,,Track 'A3',Album,True
25,26,Don Gibson,"Sweet dreams of you every night I go through
Why can't I forget you and start my life anew
Instead of having sweet dreams about you
You don't love me it's plain I should know you'll never wear my name
I should hate you the whole night through instead of having sweet dreams about you
Sweet dreams of you...",Sweet Dreams,Sweet Dreams / The Same Street,1960,2,2:12,Track 'A',Single,True
26,27,Lewis Pruitt,,Softly And Tenderly (I'll Hold You In My Arms),55 Original Country Classics,1988,55,,Track 'E3',Single,True
27,28,George Jones,"I've been living a new way
Of life that I love so
But I can see the clouds are gath'ring
And the storm will wreck our home
For last night he held you tightly
And you didn't even shove
This is true for I've been watching
From the window up above.

You must have thought that I was sleeping
And I wish that I had been
But I guess it's best to know you
And the way your heart can sin
I thought we belonged together
And our hearts fit like a glove
I was wrong for I've been watching
From the window up above.

From my eyes the teardrops started
As I listened on and on
I heard you whisper to him softly
That our marriage was all wrong
But I hope he makes you happy
And you will never lose his love
I was wrong, I was watching
From the window up above.

How I wish I could be dreaming
And wake up to an honest love
I was wrong for I was watching
From the window up above...",The Window Up Above,The Window Up Above / Candy Hearts,1960,2,2:31,Track 'A',Single,True
28,29,George Morgan,,You're The Only Good Thing (That's Happened To Me),You're The Only Good Thing (That's Happened To Me),1959,2,,Track 'A',Single,True
29,30,Jim Reeves,"When all your loves have ended
When all your friends have flown
Who'll be around to want you
When all your loves have gone.

Only a fool would do it
After the way you've done
And how many fools would have you
I know one.

This fool keeps wondering why
He fell in love at all
But you might need this fool
Around in case you fall.

After the party's over
And you've had your fill of fun
If you need a fool to forgive you
I know one.

You never know you might be lonely
When all your loves have missed
It wouldn't hurt to keep
An extra fool on your list.

After your heart's been broken
And you need a place to run
If you'll take a fool who loves you
I know one. (yes)

I know one. (umm hum)
I know one...",I Know One,I Know One / I'm Gettin' Better,1960,2,2:01,Track 'A',Single,True
30,31,Bob Luman,"In every other song that I've heard lately
Some fellow gets shot
And his baby and his best friend both die with him
As likely as not
In half of the other songs
Some Cat's crying or ready to die
We've lost most of our happy people
And I'm wondering why

Let's think about living
Let's think about loving
Let's think about the whoopin'
And hoppin and boppin'
And the lovie, lovie dovin'
Let's forget about the whinin' and the cryin'
And the shooting and the dying
And the fellow with a switchblade knife
Let's think about living
Let's think about life

We lost old Marty Robbins
Down in old El Paso a little while back
And now Miss Patti Page or one of them
Is a-wearing black
And Cath's Clown has Don and Phil
Where they feel like a-they could die
If we keep on a-losin' our singers like that
I'll be the only one you can buy'

Let's think about living
Let's think about loving
Let's think about the whoopin'
And hoppin and boppin'
And the lovie, lovie dovin'
Let's forget about the whinin' and the cryin'
And the shooting and the dying
And the fellow with a switchblade knife
Let's think about living
Let's think about life",Let's Think About Living,Let's Think About Living,1960,2,2:00,Track 'A',Single,True
31,32,Stonewall Jackson,"I've got my angel on my mind that's why I'm walkin'
There's such an ache in this old heart now I ain't talkin'
The little hand that held mine tight just waved goodbye tonight
I've got her sweet love on my mind that's why I'm walkin'

With an old love on your mind life's not worth livin'
I breathe her name with every breath I'm breathin'
Why could I never see how much she meant to me
I've got her sweet love on my mind that's why I'm walkin'

With an old love on your mind life's not worth livin'
I breathe her name with every breath I'm breathin'
Why could I never see how much she meant to me
I've got her sweet love on my mind that's why I'm walkin'
I've got my angel on my mind that's why I'm walkin'",Why I'm Walkin',The Dynamic Stonewall Jackson,1959,12,2:18,Track 'B4',Single,True
32,33,George Hamilton IV,,Before This Day Ends,The Best Of George Hamilton IV,1970,11,,Track 'A5',Single,True
33,34,Jim Reeves,"Am I losing you?
Are my fears coming true?
How I wish I knew
Am I losing you?

Is your love really true?
Is there somebody new?
Tell me what to do
Am I losing you?

Am I too blind to see
What's then happ'ning to me?
Ev'ry road has a bend
Will I be sweetheart or friend?

Will the sweet things you do
Be for somebody new?
Tell me what to do
Am I losing you?

Ev'ry road has a bend
Will I be sweetheart or friend?

Will the sweet things you do
Be for somebody new?
Tell me what to do
Am I losing you?",Am I Losing You,Am I Losing You / I Missed Me,1960,2,2:42,Track 'A',Single,True
34,35,Warren Smith,,I Don't Believe I'll Fall In Love Today,The First Country Collection Of Warren Smith,1961,12,2:34,Track 'B1',Single,True
35,36,Wynn Stewart,"Wishing I could see you again dear
That the fire of love would burn once more
But I guess that's wishful thinking
And too much to be wishing for

Just thinking how you once kissed me
Wishing that it hadn't meant goodbye
But I guess that's wishful thinking
Now I know why some people cry

I'll just live my life in dreams and I long for your love
It's you I'm wishing for and it's you I'm thinking of

My heart echoes the love words you spoken
How I wish I could hear them from you
Won't you answer a heart that is broken
And to make my wishful thinking come true

My heart echoes the love words...",Wishful Thinking ,Wishful Thinking ,1959,2,,Track 'A',Single,True
