,Rank,Artist,Lyrics,Title,album_name,release_date,total_tracks,duration,track_number,album_single,chart
97,98,George Jones,"Written by George Jones and Darrell Edwards 

In the papers I saw you this morning
You were lovely, dressed in your wedding gown
And it said you would marry a stranger to me
That had drifted into our old home town

Accident'ly, you met him one ev'ning
And you say it was love at first sight
Accident'ly on purpose you're marryin'
Accident'ly on purpose, for spite

For you say that you saw me out painting the town
That I was just a fool with the heart of a clown
Accident'ly, you were mistaken that night
Accident'ly on purpose, for spite

Yes, you say that you saw me out painting the town
That I was just a fool with the heart of a clown
Accident'ly, you were mistaken that night
Accident'ly on purpose, for spite",,,,,,,,
98,99,Kitty Wells,,Carmel By The Sea,The Man I Used To Know / Carmel By The Sea,1960,2,,Track 'B',Single,True
99,100,Ernest Tubb,"The tears I cried for you could fill an ocean,
But you don't care how many tears I cry
And though you only lead me on and hurt me,
I couldn't bring myself to say goodbye

Cause everybody's somebody's fool
Everybody's somebody's plaything
And there are no exceptions to the rule
Yes, everybody's somebody's fool

I told myself it's best that I forget you,
Though I'm a fool, at least I know the score
Yet darlin', I'd be twice as blue without you
It hurts, but I'd come running back for more

Cause everybody's somebody's fool
Everybody's somebody's plaything
And there are no exceptions to the rule
Yes, everybody's somebody's fool

Someday you'll find someone you really care for
And if her love should prove to be untrue,
You'll know how much this heart of my is breakin'
You'll cry for her the way I cried for you

Yes, everybody's somebody's fool
Everybody's somebody's plaything
And there are no exceptions to the rule
Yes, everybody's somebody's fool",Ev'rybody's Somebody's Fool,Ev'rybody's Somebody's Fool,1960,2,2:41,Track 'A',Single,True
100,N/A,Elvis Presley,"Get up in the mornin' feelin' mighty weak
A tossin' and a turnin' well, I had ain't no sleep
Oh baby, what road's our love taking?
To romance or heartbreaking'
Won't you say which way you're gonna go
I gotta know, gotta know, gotta know

Nine and nine make fourteen, four and four make nine
The clock is strikin' thirteen I think I lost my mind
You know it's gettin' aggravatin'
How long can I keep waitin'
Tell me if you love me yes or no,
I gotta know, gotta know, gotta know

Oh, how much I need you
Have pity on this heart of mine
Well, if you need and want me too,
I'll be your one and only till the end of time

Saw the fortune teller, had my fortune read
She sent me to the doctor, who sent me straight to bed
He said I'm lonesome and I'm lovesick
I've got my mind on lipstick
Will you kiss away my cares and woe?
I gotta know, gotta know, gotta know

(Repeat third verse and continue)",I Gotta Know,Are You Lonesome Tonight?,1960,2,,Track 'B',Single,False
101,N/A,Jim Reeves,"(I love you more, love you more)
(Love you more, love you more)

I love you more than every wave that breaks upon
Some far and distant lonely island shore
I love you more than every drop of rain that falls
With every drop that falls I love you more.

At night I watch the moon on high
And count the stars up in the sky
For every star that shines tonight
My love for you is just as bright.

I love you more
Forever I'll be true to you
I know you'll always love me true
Forever more.

--- Instrumentral ---

At night I watch the moon on high
And count the stars up in the sky
For every star that shines tonight
My love for you is just as bright.

I love you more
Forever I'll be true to you
I know you'll always love me true
Forever more...",I Love You More,He'll Have To Go,1960,12,2:16,Track 'A2',Album,False
102,N/A,Jim Reeves,"Wishful thinking, daydreams fly, 
Happy visions fill the night
Untold memories fade to blue
While my heart aches just for you.
While my heart aches just for you.

Oh, I would walk a thousand miles
I'd swim the seven seas
I'd come to stars in the Milky Way
Or leaves upon the trees.

To see the twinkle in your eye
The devil in your smile
Hold your hand touch your lips
For just a little while

Wishful thinking daydreams fly
Happy visions fill the night
Untold memories fade to blue
While my heart aches just for you.
While my heart aches just for you.

--- Instrumental ---

Wishful thinking daydreams fly
Happy visions fill the night
Untold memories fade to blue
While my heart aches just for you.
While my heart aches just for you.

While my heart aches just for you...",Wishful Thinking,He'll Have To Go,1960,12,2:22,Track 'A3',Album,False
103,N/A,Jim Reeves,,"Honey, Won't You Please Come Home",He'll Have To Go,1960,12,1:59,Track 'A4',Album,False
104,N/A,Jim Reeves,"I'm beginning to forget you
That old heartache is gone
I'm beginning to sleep at night
No more crying till dawn.

I can hear your name mentioned now
And it brings no misery
I'm beginnin to forget you
Like you forgot me.

I'm beginning to smile again
After crying for so long
I can hear the tune we loved, so well
And it's just another song.

I'm so happy that it's over
I'm so thankful to be free
I'm beginnin to forget you
Like you forgot me.

--- Whistles with Instrumental ---

I can hear the tune we loved, so well
And it's just another song.

I'm so happy that it's over
I'm so thankful to be free
I'm beginnin to forget you
Like you forgot me...",I'm Beginning To Forget You,He'll Have To Go,1960,12,1:59,Track 'A5',Album,False
105,N/A,Jim Reeves,"Back about eighteen hundred some 
A Louisiana couple had a redheaded son 
No name suited him the Jim Jack or Joe 
They just called him Billy Bayou.

Billy Billy Bayou watch where you go your walking on quicksand walk slow.
Billy Billy Bayou watch what you say a pretty girl will get you one of these days.

Bill was big for his size 
Red hair and freckles and big blue eyes 
Thirteen years form the day he was born 
He fought the battle of the Little Big Horn 

Billy Billy Bayou watch where you go your walking on quicksand walk slow.
Billy Billy Bayou watch what you say a pretty girl will get you one of these days.

One sad day Billy sed cried ho! ho!
I can whip the fathers of Geronmino
He got smart the chief got mad
This nearly ended our Louisiana lad

Billy Billy Bayou watch where you go your walking on quicksand walk slow.
Billy Billy Bayou watch what you say a pretty girl will get you one of these days.

One day in eighteen-seventyeight 
A pretty girl walked up to Bill's front
He didn't know whether to stand or run 
He wound up married cose he did eather one

Billy Billy Bayou watch where you go your walking on quicksand walk slow.
Billy Billy Bayou watch what you say a pretty girl will get you one of these days.

Pretty girl will get you one of these days",Billy Bayou,He'll Have To Go,1960,12,2:09,Track 'A6',Album,False
106,N/A,Jim Reeves,"My hands reach out to touch someone
But they know she's not there
My memory keeps running back
To one who used to care.

My heart has lost the will to live
My lips the will to smile
If heartache is the fashion
Then I guess that I'm in style.

The places I'm invited to
I never want to go
Afraid I'll see my old sweetheart
With her new love, and so.

I stay at home and walk the floor
As if it's my last mile
If heartache is the fashion
Then I guess that I'm in style.

--- Instrumental ---

My lips will miss the tender kiss
That someone else will know
My eyes will not forget the day
I stood and watched her go.

My arms will ache to hold the love
That I held for a while
If heartache is the fashion
Then I guess that I'm in style...",If Heartache Is The Fashion,He'll Have To Go,1960,12,2:02,Track 'B1',Album,False
107,N/A,Jim Reeves,"Two partners went in search of gold
As friendly as could be
One was young and one was old
And the gay young fool was me.

Since neighter one could write his name
We swore upon our souls
To share the wealth and then shook hands
The hands that dug for gold. (oh, partners)

The summer days were gone at last
And winter nights grew cold
The snow had trapped us in the pass
When we finally find the gold.

We took our fortune to the shack
To wait the winter through
But the food ran low so I killed my friend
What else was there to do? (oh, partners)

I threw his body just outside
Into the bitter cold
Somehow I had to stay alive
I now had all the gold.

But the howling wind just seemed to say
You have killed a man
And you'll never get to spend the gold
With the blood upon your hands. (oh, partners)

The cabin's covered now with snow
And shelves of food are bare
Satan's waitin' for me now
And I'm too cold to care.

Is that the devil at the door
Coming for my soul
Or is it just the old man
A looking for his gold? (oh, partners)...",Partners,He'll Have To Go,1960,12,2:23,Track 'B2',Album,False
108,N/A,Jim Reeves,,Theme Of Love,He'll Have To Go,1960,12,2:13,Track 'B3',Album,False
109,N/A,Jim Reeves,"I'd like to be the picture on your mantel 
I'd like to be the window in your door
I'd like to be the feather on your pillow 
I'd even like to be the carpet on your floor.

I'd like to be the star outside your window 
The lucky chair that holds you every night
The coffee pot you warm up every morning 
I'd even like to be the apple that you bite.

And when you need someone to talk to
I'd like to be the little voice inside
And if you ever have a heartache 
I wanna be the tear you hide.

I'd like to the be the record on your phonograph 
The melody that haunts you night and day
And when you're old enough to want to marry
I'd like to be the one who steals your heart away.

--- Instrumental ---

And if you need someone to talk with
I'd like to be that little voice inside
And if you ever have a heartache 
I wanna be the tear you hide.

I'd like to the be the record on your phonograph 
That melody that haunts you night and day
And when you're old enough to want to marry
I'd like to be the one who steals your heart away...",I'd Like To Be,He'll Have To Go,1960,12,2:04,Track 'B4',Album,False
110,N/A,Jim Reeves,"After awhile, after awhile
I'll learn to smile, after awhile

I'll love again when my heart mends
I'll leave heartbreaks out high, after awhile

Some day you'll learn just how I feel
When love brings you heartache only time can heal.

After awhile, after awhile
I'll learn to smile, after awhile.

After awhile...",After Awhile,He'll Have To Go,1960,12,2:00,Track 'B5',Album,False
111,N/A,Jim Reeves,"HOME (Jim Reeves)
Written by Roger Miller

Well, I've been a traveler most of my life
Never took a home, never took a wife
Ran away young and decided to roam
Wanna see my mama and my daddy back home

Home, where the river runs cold
The water tastes good, the winters ain't cold
Home, where the trees grow tall
The home fires burn, the whippoorwills call

I remember stories that my daddy used to tell
My eyes would get big, and his chest would swell
I could sit for hours and listen with glee
As he'd tell of how he lived when he's a boy like me

Well, mama dear, mama do you still love your boy
After all my roamin' can I still bring you joy
Mom sent a letter, got it not long ago
She said ""come home, I'm missin' you so",Home,He'll Have To Go,1960,12,2:08,Track 'B6',Album,False
112,N/A,Hank Locklin,"I've seen Big Ben in London town the lights of gay Paris
The charming seems the foreign lands leave golden memory
I've seen the gleam in harbor lights from on the ocean blue
But the place I'm longing most to see is my old hometown and you
I've walked the streets of Tokio the beach of Waikiki
I've rambled all the world around I've sailed the seven seas
I've seen the town of great Reneau the land of mansions too
But the place I'm longing most to see is my old hometown and you

I've seen the deserts burning sand blue mountains great and tall
I've seen the wonders of the world the wrippling waters fall
I've seen the lovely Carabbian and her in Cheyenne View
But the place I'm longing most to see is my old hometown and you",My Old Home Town,"Please Help Me, I'm Falling",1960,2,2:20,Track 'B',Single,False
113,N/A,Johnny Horton,"The mansion I own has captured your heart
You said it was love dear but you lied from the start
I wanted true love but you wanted my gold
Someday you'll be sorry for the lies that you told

You've stolen my heart and you cheated on me
But someday my darling I know that you'll see
A house without love can make you so cold
And you will be lonely in the mansion you stole

You said it was love dear but you lied from the start
Someday you'll be sorry for the lies that you told

You've stolen my heart and you cheated on me
But someday my darling I know that you'll see
A house without love can make you so cold
And you will be lonely in the mansion you stole",The Mansion You Stole,North To Alaska,1960,2,,Track 'B',Single,False
114,N/A,Floyd Cramer,,Sweetie Baby,Last Date ,1960,2,2:20,Track 'B',Single,False
115,N/A,Ferlin Husky,,Next To Jimmy,Wings Of A Dove,1960,2,2:18,Track 'B',Single,False
116,N/A,Cowboy Copas,,I Can,Alabam / I Can,1960,2,2:14,Track 'B',Single,False
117,N/A,Don Gibson,,I May Never Get To Heaven,Just One Time / I May Never Get To Heaven,1960,2,2:45,Track 'B',Single,False
118,N/A,Skeeter Davis,,No Never,(I Can't Help You) I'm Falling Too,1960,2,2:40,Track 'B',Single,False
119,N/A,Jim Reeves,"Am I losing you?
Are my fears coming true?
How I wish I knew
Am I losing you?

Is your love really true?
Is there somebody new?
Tell me what to do
Am I losing you?

Am I too blind to see
What's then happ'ning to me?
Ev'ry road has a bend
Will I be sweetheart or friend?

Will the sweet things you do
Be for somebody new?
Tell me what to do
Am I losing you?

Ev'ry road has a bend
Will I be sweetheart or friend?

Will the sweet things you do
Be for somebody new?
Tell me what to do
Am I losing you?",Am I Losing You,Am I Losing You / I Missed Me,1960,2,2:42,Track 'A',Single,False
120,N/A,Ray Price,"I'm drifting into deep water I'm startin' to care for you
You're getting me in deep water be careful what you do
You wanna romance but I'm seeking love I know I'll regret it when it ends
I'm winding off in deep water why can't we just be friends
It's restless in this deep water I'm lost between right and wrong
My love is true as deep water your love won't last this long
Where will it lead me and where will it end I can't help but wish I only knew
I'm winding up in deep water so deep in love with you",Deep Water,Run That By Me One More Time,2011,11,2:36,Track 'A1',LP,False
121,N/A,Ray Price,"The sun goes down it leaves me sad and blue
The iron curtain falls on this cold war with you
For you won't speak and I won't speak it's true
Two stubborn people with a cold war to go through
Why oh why should love ever come to couples like you and me
Whose cold cold wars are never done and whose hearts just can't be free
So let's make up or let's just say we're through
I just can't stand another cold cold war with you
Why oh why should love ever come...",This Cold War With You,Run That By Me One More Time,2011,11,2:46,Track 'A2',LP,False
122,N/A,Ray Price,,I've Just Destroyed The World I'm Living In,Run That By Me One More Time,2011,11,3:05,Track 'A4',LP,False
123,N/A,Ray Price,,It Wouldn't Be The Same Without You,Run That By Me One More Time,2011,11,2:41,Track 'A5',LP,False
124,N/A,Ray Price,"Haven't got a worry haven't got a care
Haven't got a thing to call my own
Though I'm out of money I'm a millionaire
I still have my home in San Antone
When I greet my neighbor with a hi y'all
I'm wealthy as a king upon a throne
You can have your mansion or your cottage small
I'll just take my home in San Antone
I'm travelled o'er the country on my merry way
Been in crowds and felt I was alone
When I feel like braggin' I just up and say
I'm a native son of San Antone
There's a sweet somebody by the Alamo
Someday she's gonna be my very own
And we'll buy (Then we'll get) a highchair in a year or so
For our little Home In San Antone",Home In San Antone,Run That By Me One More Time,2011,11,2:48,Track 'A6',LP,False
125,N/A,Ray Price,,Something To Think About,Run That By Me One More Time,2011,11,2:39,Track 'B1',LP,False
126,N/A,Ray Price,"Run that by me one more time
With willie nelson
Writers fred foster, arthur hancock, jimmy lambert
Run that by me one more time
To make sure that I heard you right
I hope you don't expect me to believe that line
I might be crazy, but I ain't dumb
And I know a lie when I hear one
Would you run that by me one more time?
Well, you're late again, I see
What's your excuse this time?
Don't you try to kiss and make up
When you smell so strong from wine
Well, I'm not late, the clock is wrong
You need to wind Big Ben
Honey, that's not wine you smell
That's aftershave for men
Would you run that by me one more time?
What happened to the money
I gave you to pay the rent?
The rent is overdue
And we ain't got one red cent
I put it in the cookie jar
The day you brought it home
One day when I came back from town
I looked and I'll be dogged if that money wasn't gone!
Would you run that by me one more time?",Run That By Me One More Time,Run That By Me One More Time,2011,11,2:22,Track 'B2',LP,False
127,N/A,Ray Price,"Soft rain was falling when you told me goodbye
Thunder and lightning filled my heart inside
The love born in heaven had suddenly died
And the soft rain was teardrops for the angels all cried
If love can be perfect ours must have been
But perfection is always destroyed by men
The rain whispered softly a true love just died
And the soft rain was teardrops for the angels all cried
The rain started falling when you told me goodbye
And lightning came crashing from out of the sky
The sky that was bright blue turned slowly to grey
And the angels cried with me as you walked away
If love can be perfect ours must have been...",Soft Rain,Run That By Me One More Time,2011,11,2:42,Track 'B3',LP,False
128,N/A,Ray Price,,I'll Keep On Lovin' You,Run That By Me One More Time,2011,11,3:36,Track 'B4',LP,False
129,N/A,Ray Price,"Today I made a point to go somewhere I knew you'd be
I had to know if you still had the same affect on me
And the moment that I saw you there I knew
No matter what I do I'm still not over you
I'm still not over you that feeling's still the same
I'm still not over you I find that nothing's changed
And perhaps some day I'll find somebody new
But now it's much too soon I'm still not over you
(Strings)
I can't explain why seeing you affects my sanity
But when I see yopu I become a strange and different me
And the moment that I saw you there I knew
No matter what I do I'm still not over you
I'm still not over you I find that nothing's changed
I'm still not over you that feeling's still the same
And perhaps some day I'll find somebody new
But now it's much too soon I'm still not over you
No matter what I do I'm still not over you",I'm Still Not Over You,Run That By Me One More Time,2011,11,2:15,Track 'B5',LP,False
130,N/A,Skeeter Davis,,Someone I'd Like To Forget,My Last Date (With You) / Someone I'd Like To Forget,1960,2,2:30,Track 'B',Single,False
131,N/A,Jim Reeves,"When all your loves have ended
When all your friends have flown
Who'll be around to want you
When all your loves have gone.

Only a fool would do it
After the way you've done
And how many fools would have you
I know one.

This fool keeps wondering why
He fell in love at all
But you might need this fool
Around in case you fall.

After the party's over
And you've had your fill of fun
If you need a fool to forgive you
I know one.

You never know you might be lonely
When all your loves have missed
It wouldn't hurt to keep
An extra fool on your list.

After your heart's been broken
And you need a place to run
If you'll take a fool who loves you
I know one. (yes)

I know one. (umm hum)
I know one...",I Know One,I Know One / I'm Gettin' Better,1960,2,2:01,Track 'A',Single,False
132,N/A,Roy Drusky,,The Gambler And The Lady,The Country's Favorite,1966,10,2:44,Track 'A1',Album,False
133,N/A,Roy Drusky,,Why Don't You Love Me,The Country's Favorite,1966,10,1:51,Track 'A3',Album,False
134,N/A,Roy Drusky,,Chapel Bells,The Country's Favorite,1966,10,1:53,Track 'A4',Album,False
135,N/A,Roy Drusky,,I Didn't Mean It,The Country's Favorite,1966,10,2:31,Track 'A5',Album,False
136,N/A,Roy Drusky,,Honolulu Queen,The Country's Favorite,1966,10,2:26,Track 'B1',Album,False
137,N/A,Roy Drusky,,What Does A Poor Girl Do,The Country's Favorite,1966,10,2:46,Track 'B2',Album,False
138,N/A,Roy Drusky,,Always A Bridesmaid,The Country's Favorite,1966,10,2:15,Track 'B3',Album,False
139,N/A,Roy Drusky,,You Called Me Another Woman's Name,The Country's Favorite,1966,10,2:24,Track 'B4',Album,False
140,N/A,Roy Drusky,,Someplace To Cry,The Country's Favorite,1966,10,2:19,Track 'B5',Album,False
141,N/A,Webb Pierce,"(Whirlpool whirlpool of love
Everyone says stay away from her door)
You'll end up with heartaches like you ain't before
But I'm lonesome for you in this world that I call a whirlpool of love
(Nothing seems good for me when you're away)
If I'm sad or happy in the night time or day
It all depends on you darling you see in this whirlpool of love
You brought me many heartaches before
But in your heart dear you know
(I am still waiting for you as before)
Soon I'll be knocking on your heart's door
One word from you will set me free from this whirpool of love
You brought me many heartaches before...
(Whirlpool whirlpool of love)",Whirlpool Of Love,No Love Have I,1959,2,2:27,Track 'B',Single,False
142,N/A,Faron Young,,A Lifetime Isn't Long Enough,Faron Young Sings The Best Of Faron Young,1960,12,,Track 'A2',Single,False
143,N/A,Faron Young,"Was I farther from your conscience standing face to the wall
I suspected there was something that you weren't telling me
And last night I learned the reason for it all
I was looking through your window saw you kissing someone else
You reached up and turned my picture slowly face to the wall
Face to the wall so you wouldn't have to see anything at all to make you think of me
Did the cheapness of the moment make you feel ashamed and small
Was I farther from your conscience standing face to the wall

Alone out in the darkness were the eyes that worshipped you
As you cheated me I watched my idle fall
With your arms around another and his lips where mine should be
Then I saw you turned my picture slowly face to the wall
Face to the wall...",Face To The Wall,Faron Young Sings The Best Of Faron Young,1960,12,,Track 'A3',Single,False
144,N/A,Faron Young,"Everytime I'm kissing you
I think of you kissing him
I came home and I found you
In the arms of a friend.

I should have turned and walked away
When I saw you kissing him
You beg me to forgive you
But I wonder if I can.

'Cause every time I'm kissing you
I think of you kissing him
You even said you were ashamed
But it hurts me just the same.

And I'll have to pay the cost
'Cause I can't hold the love that's lost
I thought I was the only one
But you don't know the harm you've done.

'Cause every time I'm kissing you
I think of you kissing him.

You even said you were ashamed
But it hurts me just the same.

And I'll have to pay the cost
'Cause I can't hold the love that's lost
I thought I was the only one
But you don't know the harm you've done.

'Cause every time I'm kissing you
I think of you kissing him...",Everytime I'm Kissing You,Faron Young Sings The Best Of Faron Young,1960,12,,Track 'A4',Single,False
145,N/A,Faron Young,,A Long Time Ago,Faron Young Sings The Best Of Faron Young,1960,12,,Track 'A5',Single,False
146,N/A,Faron Young,"Are there any memories you're keeping in your heart
Could there be an old old flame that might keep us apart

Well there can be no other love that is if you want me

And that's the way it's gotta be

Arms that love one woman that's how it is with me

You tell me that you're so in love but is it all with me

I remember when you said that you were mine alone

Still I can't convince my heart that you're my very own

And if I find you've been untrue you've seen the last of me

And that's the way it's gotta be

And that's the way it's gotta be",That's The Way It's Gotta Be,Faron Young Sings The Best Of Faron Young,1960,12,,Track 'A6',Single,False
147,N/A,Faron Young,"Will I ever get used to being your old used to be
I watched you walk away from me so long ago
I didn't know I loved you and I let you go
And just to think that I'm the one who set you free
Will I ever get used to being your old used to be
I've gotten used to people's stares as I walk by
I keep my head bowed low so they can't see me cry
They say there goes a man who lives in a memory
Will I ever get used to being your old used to be

I've got no one to help me pass these lonely days
When night time comes I just can't keep the blues away
Or if I dream your lovely face is all I see
Will I ever get used to being your old used to be
I've gotten used to...",Your Old Used To Be,Faron Young Sings The Best Of Faron Young,1960,12,,Track 'B1',Single,False
148,N/A,Faron Young,"You want me to come back and love you again
I hear you talkin' but your words ain't comin' in
You want me to be something that I ain't never been
I hear you talkin' but your words ain't comin' in.

I learned the lesson you taughed to me
I might be a guessin' but I think you made a fool of me
You should've thought of the way you'd feel before you were untrue
I hear you talkin' but your words ain't comin' in.

You want me to come back and love you again
I hear you talkin' but your words ain't comin' in
You want me to be something that I ain't never been
I hear you talkin' but your words ain't comin' in.

I guess I loved you but I found out so soon
'Cause this heart of mine was fallin' so in love with you
Best of him lots of luck I guess this is the end
I hear you talkin' but your words ain't comin' in.

I hear you talkin' but your words ain't comin' in.
I hear you talkin' but your words ain't comin' in...",I Hear You Talkin',Faron Young Sings The Best Of Faron Young,1960,12,,Track 'B2',Single,False
149,N/A,Faron Young,"I met you, my country girl
You didn't have a thing
I fell in love, I dressed you up
Then I bought the ring

I was teaching you to love
You were learning fine
Then one day, you learned too much
And it poisoned your sweet mind

Now you've gone and left me
You're with somebody new
But I wonder if you told him
I bought the clothes on you

When you two are dancin'
And you whisper soft and sweet
I wonder if you tell him
I bought the shoes on your feet

Now I've lost my country girl
To a city love affair
He'd built you up, you fell for him
You didn't treat me fair

You think that he's a dream come true
He says he loves you so
But wait until the word gets out
I taught you all that you know

Now you've gone and left me
You're with somebody new
But I wonder if you told him
I bought the clothes on you

When you two are dancin'
And you whisper soft and sweet
I wonder if you'll tell him
I bought the shoes on your feet...",Country Girl,Faron Young Sings The Best Of Faron Young,1960,12,,Track 'B3',Single,False
150,N/A,Faron Young,"How I'd love to be around you
When the lonely night surrounds you
How I'd love to be alone with you

What I'd give to have the power
To read your mind one hour
How I'd love to be alone with you.

Just to be with you one night
You and me alone
Kiss your lips and hold you tight
Have you for my own.

This would be a joy unending
Could be a real beginning
How I'd love to be alone with you.

How I'd love to be around you
When the lonely night surrounds you
How I'd love to be alone with you.

If I only knew for certain
I'd cut out all my flirtin'
How I'd love to be alone with you.

Just to be with you one night
You and me alone
Kiss your lips and hold you tight
Have you for my own.

Won't you try to be my baby
Just for once and then well maybe
I could always be alone with you.

Won't you try to be my baby
Just for once and then well maybe
I could always be alone with you.
And I could always be alone with you...",Alone With You,Faron Young Sings The Best Of Faron Young,1960,12,,Track 'B4',Single,False
151,N/A,Faron Young,,I'll Be Alright In The Morning,Faron Young Sings The Best Of Faron Young,1960,12,,Track 'B5',Single,False
152,N/A,Faron Young,,I Hate Myself (For Falling In Love With You),Faron Young Sings The Best Of Faron Young,1960,12,,Track 'B6',Single,False
153,N/A,Marty Robbins,"They call me a drifter, they say I'm no good
I'll never amount to a thing
Well I may be a drifter and I may be no good
There's joy in this song that I sing.

Saddle tramp, saddle tramp
I'm as free as the breeze and I ride where I please
Saddle tramp, saddle tramp.

At night I will rest 'neath a blanket of blue
Doubt if I ever will change
I might even dream of a lady I knew
Might even whisper her name

Saddle tramp, saddle tramp
I'm as free as the breeze and I ride where I please
Saddle tramp.

I might even wind up in Idaho
And visit a cute little miss
A sweet little someone I used to know
And I might even stop long enough for a kiss.

Saddle tramp, saddle tramp
I'm as free as the breeze and I ride where I please
Saddle tramp, saddle tramp.

Might even ride back through Phoenix someday
Might even stop for awhile
But branded, no never! I'll not be tied down
Trapped by a fair lady's smile.

Saddle tramp, saddle tramp
I'm as free as the breeze and I ride where I please
Saddle tramp!",Saddle Tramp,Big Iron,1960,2,,Track 'B',Single,False
154,N/A,Buck Owens,"Oh the sun's gonna shine, in my life once more
Love's gonna live here again
Things are gonna be the way they, were before
Love's gonna live here again

Love's gonna live here
Love's gonna live here
Love's gonna live here again
No more loneliness, only happiness
Love's gonna live here again

I hear bells a-ringin', I hear birds a-singin'
Love's gonna live here again
I hear bee's a-hummin, and I know the days' a-comin'
Love's gonna live here again

Love's gonna live here
Love's gonna live here
Love's gonna live here again
No more loneliness, only happiness
Love's gonna live here again
Love's gonna live here again",Love's Gonna Live Here,The Best Of Buck Owens,1964,12,1:57,Track 'A1',Single,False
155,N/A,Buck Owens,"I know that you've been foolin' around on me
Right from the start
So I'll take back my ring and I'll take back my heart
And when you're tired of foolin' around with two or three
Come on home and fool around with me

I wasn't foolin' around the day I said I do
But many a night I wished that I had been a-foolin' too
I know it's foolish taking all this misery
But when it's you a fool I'll always be

I know that you've been foolin' around on me
Right from the start
So I'll take back my ring and I'll take back my heart
And when you're tired of foolin' around with two or three
Come on home and fool around with me

So honey fool around. You know right where I'm at
Don't worry if I'm lonesome 'cause I'm used to that
And when you're tire of foolin' 'round with two or three
Then come on home and fool around with me

I know that you've been foolin' around on me
Right from the start
So I'll take back my ring and I'll take back my heart
And when you're tire of foolin' around with two or three
Come on home and fool around with me...",Foolin' Around,The Best Of Buck Owens,1964,12,2:34,Track 'A2',Single,False
156,N/A,Buck Owens,"They just don't know how lost I feel without you
My teardrops never see the light of day
I laugh and joke each time they talk about you
But if they heard my heart they'd hear it say

Excuse me, I think I've got a heartache
There's an aching deep inside
And it just won't be denied
Excuse me, I think I've got a heartache
And I better say goodbye before I cry
I guess it's pride that makes me hide my sorrow
I live a lie in all I do and say
My lips may lie and paint a bright tomorrow
But if I told the truth I'd have to say

Excuse me, I think I've got a heartache
There's an aching deep inside
And it just won't be denied
Excuse me, I think I've got a heartache
And I better say goodbye before I cry",Excuse Me (I Think I've Got A Heartache),The Best Of Buck Owens,1964,12,2:22,Track 'A3',Single,False
157,N/A,Buck Owens,,I Can't Stop (My Lovin' You),The Best Of Buck Owens,1964,12,2:41,Track 'A4',Single,False
158,N/A,Buck Owens,"Oh, let's stop kickin' each others hearts around
It's not the thing to do
Let's pick them up dust them off 
And start our love anew.

Let's be fair and let's don't dare
To try to hurt the other
Let's stop kickin' our hearts around
And let's love one another.

We've said goodbye a thousand times
Then made up again
Always coming back for more
To see which one will win.

I love you and you love me
On this we can agree
Let's stop kickin' our hearts around
And go on lovingly.

Oh let's stop kickin' each others hearts around
It's not the thing to do
Let's pick them up dust them off 
And start our love anew.

--- Instrumental ---

You called me on the phone
But I hung up on you
Then I called back up to apologize 
For doing things I do.

You can't understand the things I do
Or things I say
And I can't accept the way you change
From day to day.

Oh let's stop kickin' each others hearts around
It's not the thing to do
Let's pick them up dust them off 
And start our love anew...",Kickin' Our Hearts Around,The Best Of Buck Owens,1964,12,2:31,Track 'A5',Single,False
159,N/A,Buck Owens,"She knew I knew that she was out to get me
But I just close my eyes and let it be
Now she walks by me like she never met me
I didn't even make a memory

For I was under the influence of love
I wonder now what I was thinking of
Yes I was so in love I let her
Hurtin' me though I knew better
Under the influence of love

Why did I let her do me like she done me
Why can't I get that woman off my mind
Although I know she never truly loved me
I wish she break my heart just one time

For I was under the influence of love
I wonder now what I was thinking of
Yes I was so in love I let her
Hurtin' me though I knew better
Under the influence of love",Under The Influence Of Love,The Best Of Buck Owens,1964,12,2:17,Track 'A6',Single,False
160,N/A,Buck Owens,"They're going to put me in the movies 
They're going to make a big star out of me 
We'll make a film about a man that's sad and lonely 
And all I got to do is act naturally 

Well, I bet you I'm a gonna be a big star 
Might win an Oscar you can never tell 
The movie's going to make me a big star
'Cause I can play the part so well

Well, I hope you come and see me in the movie 
Then I'll know that you will plainly see 
The biggest fool that's ever hit the big time 
And all I got to do is act naturally

We'll make a scene about a man that's sad and lonely 
And begging down upon his bended knee 
I'll play the part but I won't need rehearsing 
All I have to do is act naturally

Well, I bet you I'm a going to be a big star 
Might win an Oscar you can never tell 
The movie's going to make me a big star
'Cause I can play the part so well

Well, I hope you come and see me in the movie 
Then I'll know that you will plainly see 
The biggest fool that's ever hit the big time 
And all I got to do is act naturally",Act Naturally,The Best Of Buck Owens,1964,12,2:11,Track 'B1',Single,False
